Liczba: 100 Gestosc: 25
0,2978
0,2882
0,2891
0,2932
0,285
0,2887
0,2791
0,2786
0,2964
0,2841
0,2814
0,2785
0,2805
0,2858
0,2812
0,283
0,2792
0,2795
0,2865
0,2796
0,283
0,2811
0,2941
0,2841
0,2961
0,4014
0,2911
0,2982
0,2907
0,2872
0,305
0,3077
0,2863
0,3104
0,3054
0,3747
0,2937
0,305
0,2838
0,3082
0,4817
0,2991
0,2968
0,3169
0,2955
0,314
0,3082
0,3332
0,4128
0,2983
0,4282
0,3021
0,314
0,2987
0,3074
0,3199
0,3197
0,2962
0,3026
0,2898
0,2931
0,4332
0,2968
0,3103
0,2963
0,5077
0,5049
0,2967
0,3048
0,5691
0,2949
0,299
0,316
0,295
0,2954
0,3065
0,2877
0,2956
0,5593
0,4718
0,5104
0,4847
0,4862
0,5013
0,3289
0,2994
0,3084
0,2918
0,2902
0,2892
0,2838
0,2832
0,2863
0,2992
0,2862
0,295
0,3182
0,3018
0,3123
0,2903
Liczba: 200 Gestosc: 25
1,3719
1,3738
1,5289
1,3789
1,4695
1,438
1,3247
1,2758
1,5882
1,5278
1,5122
2,011
2,3049
2,3419
4,4907
2,33
2,6114
1,5355
1,7837
2,675
2,3643
1,8759
2,6463
3,0221
1,9901
2,6764
2,4754
3,0078
2,9299
2,6079
2,4163
2,4359
2,4673
2,4044
2,8182
3,7072
2,239
2,7539
2,9054
5,4366
3,6491
2,6724
2,7104
2,9446
3,8653
3,0532
4,5964
2,1071
2,4873
2,9044
2,9031
2,8775
2,674
3,3322
3,1256
3,096
3,4483
2,084
2,6543
1,6977
1,4878
2,4309
1,6563
1,7864
2,7654
1,6003
1,6666
2,3209
1,6427
1,5948
2,4058
2,5838
1,7022
1,8192
1,9516
1,4024
1,4627
1,3433
1,4514
1,3526
1,3112
1,2719
1,2359
1,2596
1,4543
1,3613
1,2415
1,3805
1,2298
1,2466
1,2531
1,2482
1,4231
1,5378
1,6407
1,459
1,5068
2,4126
2,4253
2,4015
Liczba: 500 Gestosc: 25
13,3073
17,7626
18,5452
14,8856
13,7977
14,1291
13,3027
16,4282
10,171
11,2424
10,3856
10,3653
9,7956
9,7924
9,819
9,5308
9,8478
13,9231
14,0064
9,9195
10,0657
9,9645
9,5856
9,9193
10,1699
9,6376
9,8772
9,8762
10,1491
12,8983
9,9656
12,9705
10,5693
9,5905
9,6051
9,8146
10,5976
9,9203
11,6668
10,6258
9,9525
9,7555
10,0604
10,0912
9,4954
11,1957
10,3805
10,6872
9,7827
9,9468
10,0738
9,5964
9,9905
9,7515
11,633
9,9142
10,2298
10,2442
10,4779
11,8356
9,9218
9,7648
10,2187
10,1322
9,7834
11,4036
12,8343
10,1537
10,0301
10,1519
10,5168
9,8209
12,982
10,6908
10,7899
9,8966
10,0154
10,095
10,6734
12,7016
9,8954
10,0839
10,5378
10,305
10,0761
10,81
10,2294
10,1445
9,876
10,8263
10,4337
10,0109
10,9866
12,151
10,669
11,069
12,3341
10,1393
10,0443
11,6292
Liczba: 1000 Gestosc: 25
61,4462
57,1947
58,3771
56,9504
57,6519
58,1988
57,3504
57,2656
59,643
57,3114
57,9047
58,0977
57,6476
58,4958
59,4938
59,7911
57,0424
59,0085
57,3984
56,9375
65,4998
57,6528
58,8516
59,6818
57,143
58,9135
60,695
57,7484
69,7345
61,3291
63,1022
61,3425
59,6108
62,6251
61,1112
66,6919
59,2069
61,056
60,3741
63,1436
60,2645
57,9103
65,282
62,4683
62,823
63,891
58,1127
63,7502
65,6507
70,0621
62,4843
63,6025
62,9998
60,3639
57,4759
60,5601
57,548
68,1758
63,149
59,5396
57,6815
73,137
57,396
64,8576
59,3477
62,2068
60,7053
60,8243
59,2097
57,2945
58,9672
64,0073
62,9065
68,1624
64,8225
65,7271
58,7638
60,4305
63,9428
60,6528
58,933
69,0417
62,1624
64,0908
67,2949
62,9779
59,808
72,5817
65,6336
63,6085
65,7444
70,5201
73,9428
65,4861
68,771
80,3569
75,2498
65,6447
66,413
61,029
Liczba: 2000 Gestosc: 25
282,075
284,294
290,52
289,567
288,907
317,047
